province,representation,method,k,cluster,topsis_score_4d,topsis_score_3d_balanced
内蒙古,4d_direct,Kmeans,4,2,0.9653230321207742,0.9708832314416607
北京,4d_direct,Kmeans,4,3,0.10833108298183813,0.08674044883094571
吉林,4d_direct,Kmeans,4,1,0.5250659364323911,0.6068072883057705
四川,4d_direct,Kmeans,4,4,0.47325913728461355,0.4811902350020097
天津,4d_direct,Kmeans,4,4,0.486593397828583,0.5549622484623948
宁夏,4d_direct,Kmeans,4,2,0.717781381810272,0.7769505874768063
安徽,4d_direct,Kmeans,4,1,0.6273387595704812,0.6617041219716174
山东,4d_direct,Kmeans,4,1,0.7243397172837183,0.7350357080650923
山西,4d_direct,Kmeans,4,2,0.8246501001164876,0.8486606302254287
广东,4d_direct,Kmeans,4,1,0.5915752093211174,0.5967969083805128
广西,4d_direct,Kmeans,4,1,0.5443470835415287,0.6063305628434909
新疆,4d_direct,Kmeans,4,2,0.8166055647446883,0.8448097287218678
江苏,4d_direct,Kmeans,4,1,0.7004256347980502,0.709005836963471
江西,4d_direct,Kmeans,4,4,0.47504451120638175,0.5328676349424294
河北,4d_direct,Kmeans,4,2,0.7835332721060869,0.8057415417129137
河南,4d_direct,Kmeans,4,1,0.6041186485859018,0.6137209564225538
浙江,4d_direct,Kmeans,4,1,0.6026087020082435,0.6232917985116859
海南,4d_direct,Kmeans,4,4,0.23756267165242323,0.3360897420522263
湖北,4d_direct,Kmeans,4,1,0.5585912096021018,0.5658666857588391
湖南,4d_direct,Kmeans,4,4,0.48628564800245716,0.47849034721975736
甘肃,4d_direct,Kmeans,4,1,0.5344443883288423,0.6089921026320284
福建,4d_direct,Kmeans,4,1,0.5458693535486946,0.5928086094722795
贵州,4d_direct,Kmeans,4,4,0.5139265440339448,0.5230549245479895
辽宁,4d_direct,Kmeans,4,2,0.7353109592155852,0.756140498207689
重庆,4d_direct,Kmeans,4,4,0.4055489616890713,0.46760564280760936
陕西,4d_direct,Kmeans,4,1,0.635156717947642,0.6813551725160337
青海,4d_direct,Kmeans,4,4,0.3481053106167525,0.43378551009740124
黑龙江,4d_direct,Kmeans,4,1,0.5875517498367887,0.6277068060400297
上海,4d_direct,Ward,4,1,0.399891695088258,0.400238959906644
云南,4d_direct,Ward,4,1,0.4631168700730246,0.5090152838045352
内蒙古,4d_direct,Ward,4,2,0.9653230321207742,0.9708832314416607
北京,4d_direct,Ward,4,3,0.10833108298183813,0.08674044883094571
吉林,4d_direct,Ward,4,1,0.5250659364323911,0.6068072883057705
四川,4d_direct,Ward,4,1,0.47325913728461355,0.4811902350020097
天津,4d_direct,Ward,4,1,0.486593397828583,0.5549622484623948
宁夏,4d_direct,Ward,4,2,0.717781381810272,0.7769505874768063
安徽,4d_direct,Ward,4,4,0.6273387595704812,0.6617041219716174
山东,4d_direct,Ward,4,4,0.7243397172837183,0.7350357080650923
山西,4d_direct,Ward,4,2,0.8246501001164876,0.8486606302254287
广东,4d_direct,Ward,4,4,0.5915752093211174,0.5967969083805128
广西,4d_direct,Ward,4,4,0.5443470835415287,0.6063305628434909
新疆,4d_direct,Ward,4,2,0.8166055647446883,0.8448097287218678
江苏,4d_direct,Ward,4,4,0.7004256347980502,0.709005836963471
江西,4d_direct,Ward,4,1,0.47504451120638175,0.5328676349424294
河北,4d_direct,Ward,4,2,0.7835332721060869,0.8057415417129137
河南,4d_direct,Ward,4,4,0.6041186485859018,0.6137209564225538
浙江,4d_direct,Ward,4,4,0.6026087020082435,0.6232917985116859
海南,4d_direct,Ward,4,1,0.23756267165242323,0.3360897420522263
湖北,4d_direct,Ward,4,4,0.5585912096021018,0.5658666857588391
湖南,4d_direct,Ward,4,1,0.48628564800245716,0.47849034721975736
甘肃,4d_direct,Ward,4,1,0.5344443883288423,0.6089921026320284
福建,4d_direct,Ward,4,4,0.5458693535486946,0.5928086094722795
贵州,4d_direct,Ward,4,1,0.5139265440339448,0.5230549245479895
辽宁,4d_direct,Ward,4,2,0.7353109592155852,0.756140498207689
重庆,4d_direct,Ward,4,1,0.4055489616890713,0.46760564280760936
陕西,4d_direct,Ward,4,4,0.635156717947642,0.6813551725160337
青海,4d_direct,Ward,4,1,0.3481053106167525,0.43378551009740124
黑龙江,4d_direct,Ward,4,1,0.5875517498367887,0.6277068060400297
上海,4d_direct,Kmeans,5,4,0.399891695088258,0.400238959906644
云南,4d_direct,Kmeans,5,4,0.4631168700730246,0.5090152838045352
内蒙古,4d_direct,Kmeans,5,2,0.9653230321207742,0.9708832314416607
北京,4d_direct,Kmeans,5,3,0.10833108298183813,0.08674044883094571
吉林,4d_direct,Kmeans,5,5,0.5250659364323911,0.6068072883057705
四川,4d_direct,Kmeans,5,4,0.47325913728461355,0.4811902350020097
天津,4d_direct,Kmeans,5,5,0.486593397828583,0.5549622484623948
宁夏,4d_direct,Kmeans,5,2,0.717781381810272,0.7769505874768063
安徽,4d_direct,Kmeans,5,1,0.6273387595704812,0.6617041219716174
山东,4d_direct,Kmeans,5,1,0.7243397172837183,0.7350357080650923
山西,4d_direct,Kmeans,5,2,0.8246501001164876,0.8486606302254287
广东,4d_direct,Kmeans,5,4,0.5915752093211174,0.5967969083805128
广西,4d_direct,Kmeans,5,4,0.5443470835415287,0.6063305628434909
新疆,4d_direct,Kmeans,5,2,0.8166055647446883,0.8448097287218678
江苏,4d_direct,Kmeans,5,1,0.7004256347980502,0.709005836963471
江西,4d_direct,Kmeans,5,4,0.47504451120638175,0.5328676349424294
河北,4d_direct,Kmeans,5,1,0.7835332721060869,0.8057415417129137
河南,4d_direct,Kmeans,5,4,0.6041186485859018,0.6137209564225538
浙江,4d_direct,Kmeans,5,4,0.6026087020082435,0.6232917985116859
海南,4d_direct,Kmeans,5,5,0.23756267165242323,0.3360897420522263
湖北,4d_direct,Kmeans,5,4,0.5585912096021018,0.5658666857588391
湖南,4d_direct,Kmeans,5,4,0.48628564800245716,0.47849034721975736
甘肃,4d_direct,Kmeans,5,5,0.5344443883288423,0.6089921026320284
福建,4d_direct,Kmeans,5,4,0.5458693535486946,0.5928086094722795
贵州,4d_direct,Kmeans,5,4,0.5139265440339448,0.5230549245479895
辽宁,4d_direct,Kmeans,5,1,0.7353109592155852,0.756140498207689
重庆,4d_direct,Kmeans,5,4,0.4055489616890713,0.46760564280760936
陕西,4d_direct,Kmeans,5,1,0.635156717947642,0.6813551725160337
青海,4d_direct,Kmeans,5,5,0.3481053106167525,0.43378551009740124
黑龙江,4d_direct,Kmeans,5,5,0.5875517498367887,0.6277068060400297
上海,4d_direct,Ward,5,1,0.399891695088258,0.400238959906644
云南,4d_direct,Ward,5,1,0.4631168700730246,0.5090152838045352
内蒙古,4d_direct,Ward,5,2,0.9653230321207742,0.9708832314416607
北京,4d_direct,Ward,5,3,0.10833108298183813,0.08674044883094571
吉林,4d_direct,Ward,5,4,0.5250659364323911,0.6068072883057705
四川,4d_direct,Ward,5,1,0.47325913728461355,0.4811902350020097
天津,4d_direct,Ward,5,4,0.486593397828583,0.5549622484623948
宁夏,4d_direct,Ward,5,2,0.717781381810272,0.7769505874768063
安徽,4d_direct,Ward,5,5,0.6273387595704812,0.6617041219716174
山东,4d_direct,Ward,5,5,0.7243397172837183,0.7350357080650923
山西,4d_direct,Ward,5,2,0.8246501001164876,0.8486606302254287
广东,4d_direct,Ward,5,5,0.5915752093211174,0.5967969083805128
广西,4d_direct,Ward,5,5,0.5443470835415287,0.6063305628434909
新疆,4d_direct,Ward,5,2,0.8166055647446883,0.8448097287218678
江苏,4d_direct,Ward,5,5,0.7004256347980502,0.709005836963471
江西,4d_direct,Ward,5,1,0.47504451120638175,0.5328676349424294
河北,4d_direct,Ward,5,2,0.7835332721060869,0.8057415417129137
河南,4d_direct,Ward,5,5,0.6041186485859018,0.6137209564225538
浙江,4d_direct,Ward,5,5,0.6026087020082435,0.6232917985116859
海南,4d_direct,Ward,5,4,0.23756267165242323,0.3360897420522263
湖北,4d_direct,Ward,5,5,0.5585912096021018,0.5658666857588391
湖南,4d_direct,Ward,5,1,0.48628564800245716,0.47849034721975736
甘肃,4d_direct,Ward,5,4,0.5344443883288423,0.6089921026320284
福建,4d_direct,Ward,5,5,0.5458693535486946,0.5928086094722795
贵州,4d_direct,Ward,5,1,0.5139265440339448,0.5230549245479895
辽宁,4d_direct,Ward,5,2,0.7353109592155852,0.756140498207689
重庆,4d_direct,Ward,5,1,0.4055489616890713,0.46760564280760936
陕西,4d_direct,Ward,5,5,0.635156717947642,0.6813551725160337
青海,4d_direct,Ward,5,4,0.3481053106167525,0.43378551009740124
黑龙江,4d_direct,Ward,5,4,0.5875517498367887,0.6277068060400297
上海,3d_balanced,Kmeans,3,2,0.399891695088258,0.400238959906644
云南,3d_balanced,Kmeans,3,1,0.4631168700730246,0.5090152838045352
内蒙古,3d_balanced,Kmeans,3,3,0.9653230321207742,0.9708832314416607
北京,3d_balanced,Kmeans,3,2,0.10833108298183813,0.08674044883094571
吉林,3d_balanced,Kmeans,3,1,0.5250659364323911,0.6068072883057705
四川,3d_balanced,Kmeans,3,1,0.47325913728461355,0.4811902350020097
天津,3d_balanced,Kmeans,3,1,0.486593397828583,0.5549622484623948
宁夏,3d_balanced,Kmeans,3,3,0.717781381810272,0.7769505874768063
安徽,3d_balanced,Kmeans,3,1,0.6273387595704812,0.6617041219716174
山东,3d_balanced,Kmeans,3,3,0.7243397172837183,0.7350357080650923
山西,3d_balanced,Kmeans,3,3,0.8246501001164876,0.8486606302254287
广东,3d_balanced,Kmeans,3,1,0.5915752093211174,0.5967969083805128
广西,3d_balanced,Kmeans,3,1,0.5443470835415287,0.6063305628434909
新疆,3d_balanced,Kmeans,3,3,0.8166055647446883,0.8448097287218678
江苏,3d_balanced,Kmeans,3,3,0.7004256347980502,0.709005836963471
江西,3d_balanced,Kmeans,3,1,0.47504451120638175,0.5328676349424294
河北,3d_balanced,Kmeans,3,3,0.7835332721060869,0.8057415417129137
河南,3d_balanced,Kmeans,3,1,0.6041186485859018,0.6137209564225538
浙江,3d_balanced,Kmeans,3,1,0.6026087020082435,0.6232917985116859
海南,3d_balanced,Kmeans,3,2,0.23756267165242323,0.3360897420522263
湖北,3d_balanced,Kmeans,3,1,0.5585912096021018,0.5658666857588391
湖南,3d_balanced,Kmeans,3,1,0.48628564800245716,0.47849034721975736
甘肃,3d_balanced,Kmeans,3,1,0.5344443883288423,0.6089921026320284
福建,3d_balanced,Kmeans,3,1,0.5458693535486946,0.5928086094722795
贵州,3d_balanced,Kmeans,3,1,0.5139265440339448,0.5230549245479895
辽宁,3d_balanced,Kmeans,3,3,0.7353109592155852,0.756140498207689
重庆,3d_balanced,Kmeans,3,1,0.4055489616890713,0.46760564280760936
陕西,3d_balanced,Kmeans,3,1,0.635156717947642,0.6813551725160337
青海,3d_balanced,Kmeans,3,2,0.3481053106167525,0.43378551009740124
黑龙江,3d_balanced,Kmeans,3,1,0.5875517498367887,0.6277068060400297
上海,3d_balanced,Ward,3,1,0.399891695088258,0.400238959906644
云南,3d_balanced,Ward,3,1,0.4631168700730246,0.5090152838045352
内蒙古,3d_balanced,Ward,3,2,0.9653230321207742,0.9708832314416607
北京,3d_balanced,Ward,3,3,0.10833108298183813,0.08674044883094571
吉林,3d_balanced,Ward,3,1,0.5250659364323911,0.6068072883057705
四川,3d_balanced,Ward,3,1,0.47325913728461355,0.4811902350020097
天津,3d_balanced,Ward,3,1,0.486593397828583,0.5549622484623948
宁夏,3d_balanced,Ward,3,2,0.717781381810272,0.7769505874768063
安徽,3d_balanced,Ward,3,1,0.6273387595704812,0.6617041219716174
山东,3d_balanced,Ward,3,1,0.7243397172837183,0.7350357080650923
山西,3d_balanced,Ward,3,2,0.8246501001164876,0.8486606302254287
广东,3d_balanced,Ward,3,1,0.5915752093211174,0.5967969083805128
广西,3d_balanced,Ward,3,1,0.5443470835415287,0.6063305628434909
新疆,3d_balanced,Ward,3,2,0.8166055647446883,0.8448097287218678
江苏,3d_balanced,Ward,3,1,0.7004256347980502,0.709005836963471
江西,3d_balanced,Ward,3,1,0.47504451120638175,0.5328676349424294
河北,3d_balanced,Ward,3,2,0.7835332721060869,0.8057415417129137
河南,3d_balanced,Ward,3,1,0.6041186485859018,0.6137209564225538
浙江,3d_balanced,Ward,3,1,0.6026087020082435,0.6232917985116859
海南,3d_balanced,Ward,3,3,0.23756267165242323,0.3360897420522263
湖北,3d_balanced,Ward,3,1,0.5585912096021018,0.5658666857588391
湖南,3d_balanced,Ward,3,1,0.48628564800245716,0.47849034721975736
甘肃,3d_balanced,Ward,3,1,0.5344443883288423,0.6089921026320284
福建,3d_balanced,Ward,3,1,0.5458693535486946,0.5928086094722795
贵州,3d_balanced,Ward,3,1,0.5139265440339448,0.5230549245479895
辽宁,3d_balanced,Ward,3,2,0.7353109592155852,0.756140498207689
重庆,3d_balanced,Ward,3,1,0.4055489616890713,0.46760564280760936
陕西,3d_balanced,Ward,3,1,0.635156717947642,0.6813551725160337
青海,3d_balanced,Ward,3,3,0.3481053106167525,0.43378551009740124
黑龙江,3d_balanced,Ward,3,1,0.5875517498367887,0.6277068060400297
上海,3d_balanced,Kmeans,4,3,0.399891695088258,0.400238959906644
云南,3d_balanced,Kmeans,4,3,0.4631168700730246,0.5090152838045352
内蒙古,3d_balanced,Kmeans,4,4,0.9653230321207742,0.9708832314416607
北京,3d_balanced,Kmeans,4,2,0.10833108298183813,0.08674044883094571
吉林,3d_balanced,Kmeans,4,3,0.5250659364323911,0.6068072883057705
四川,3d_balanced,Kmeans,4,3,0.47325913728461355,0.4811902350020097
天津,3d_balanced,Kmeans,4,3,0.486593397828583,0.5549622484623948
宁夏,3d_balanced,Kmeans,4,4,0.717781381810272,0.7769505874768063
安徽,3d_balanced,Kmeans,4,1,0.6273387595704812,0.6617041219716174
山东,3d_balanced,Kmeans,4,1,0.7243397172837183,0.7350357080650923
山西,3d_balanced,Kmeans,4,4,0.8246501001164876,0.8486606302254287
广东,3d_balanced,Kmeans,4,1,0.5915752093211174,0.5967969083805128
广西,3d_balanced,Kmeans,4,3,0.5443470835415287,0.6063305628434909
新疆,3d_balanced,Kmeans,4,4,0.8166055647446883,0.8448097287218678
江苏,3d_balanced,Kmeans,4,1,0.7004256347980502,0.709005836963471
江西,3d_balanced,Kmeans,4,3,0.47504451120638175,0.5328676349424294
河北,3d_balanced,Kmeans,4,4,0.7835332721060869,0.8057415417129137
河南,3d_balanced,Kmeans,4,1,0.6041186485859018,0.6137209564225538
浙江,3d_balanced,Kmeans,4,1,0.6026087020082435,0.6232917985116859
海南,3d_balanced,Kmeans,4,2,0.23756267165242323,0.3360897420522263
湖北,3d_balanced,Kmeans,4,3,0.5585912096021018,0.5658666857588391
湖南,3d_balanced,Kmeans,4,3,0.48628564800245716,0.47849034721975736
甘肃,3d_balanced,Kmeans,4,3,0.5344443883288423,0.6089921026320284
福建,3d_balanced,Kmeans,4,3,0.5458693535486946,0.5928086094722795
贵州,3d_balanced,Kmeans,4,3,0.5139265440339448,0.5230549245479895
辽宁,3d_balanced,Kmeans,4,4,0.7353109592155852,0.756140498207689
重庆,3d_balanced,Kmeans,4,3,0.4055489616890713,0.46760564280760936
陕西,3d_balanced,Kmeans,4,1,0.635156717947642,0.6813551725160337
青海,3d_balanced,Kmeans,4,2,0.3481053106167525,0.43378551009740124
黑龙江,3d_balanced,Kmeans,4,3,0.5875517498367887,0.6277068060400297
上海,3d_balanced,Ward,4,1,0.399891695088258,0.400238959906644
云南,3d_balanced,Ward,4,1,0.4631168700730246,0.5090152838045352
内蒙古,3d_balanced,Ward,4,2,0.9653230321207742,0.9708832314416607
北京,3d_balanced,Ward,4,3,0.10833108298183813,0.08674044883094571
吉林,3d_balanced,Ward,4,1,0.5250659364323911,0.6068072883057705
四川,3d_balanced,Ward,4,1,0.47325913728461355,0.4811902350020097
天津,3d_balanced,Ward,4,1,0.486593397828583,0.5549622484623948
宁夏,3d_balanced,Ward,4,2,0.717781381810272,0.7769505874768063
安徽,3d_balanced,Ward,4,4,0.6273387595704812,0.6617041219716174
山东,3d_balanced,Ward,4,4,0.7243397172837183,0.7350357080650923
山西,3d_balanced,Ward,4,2,0.8246501001164876,0.8486606302254287
广东,3d_balanced,Ward,4,4,0.5915752093211174,0.5967969083805128
广西,3d_balanced,Ward,4,4,0.5443470835415287,0.6063305628434909
新疆,3d_balanced,Ward,4,2,0.8166055647446883,0.8448097287218678
江苏,3d_balanced,Ward,4,4,0.7004256347980502,0.709005836963471
江西,3d_balanced,Ward,4,1,0.47504451120638175,0.5328676349424294
河北,3d_balanced,Ward,4,2,0.7835332721060869,0.8057415417129137
河南,3d_balanced,Ward,4,4,0.6041186485859018,0.6137209564225538
浙江,3d_balanced,Ward,4,4,0.6026087020082435,0.6232917985116859
海南,3d_balanced,Ward,4,3,0.23756267165242323,0.3360897420522263
湖北,3d_balanced,Ward,4,1,0.5585912096021018,0.5658666857588391
湖南,3d_balanced,Ward,4,1,0.48628564800245716,0.47849034721975736
甘肃,3d_balanced,Ward,4,1,0.5344443883288423,0.6089921026320284
福建,3d_balanced,Ward,4,4,0.5458693535486946,0.5928086094722795
贵州,3d_balanced,Ward,4,1,0.5139265440339448,0.5230549245479895
辽宁,3d_balanced,Ward,4,2,0.7353109592155852,0.756140498207689
重庆,3d_balanced,Ward,4,1,0.4055489616890713,0.46760564280760936
陕西,3d_balanced,Ward,4,4,0.635156717947642,0.6813551725160337
青海,3d_balanced,Ward,4,3,0.3481053106167525,0.43378551009740124
黑龙江,3d_balanced,Ward,4,1,0.5875517498367887,0.6277068060400297
上海,3d_balanced,Kmeans,5,1,0.399891695088258,0.400238959906644
云南,3d_balanced,Kmeans,5,1,0.4631168700730246,0.5090152838045352
内蒙古,3d_balanced,Kmeans,5,2,0.9653230321207742,0.9708832314416607
北京,3d_balanced,Kmeans,5,3,0.10833108298183813,0.08674044883094571
吉林,3d_balanced,Kmeans,5,1,0.5250659364323911,0.6068072883057705
四川,3d_balanced,Kmeans,5,1,0.47325913728461355,0.4811902350020097
天津,3d_balanced,Kmeans,5,1,0.486593397828583,0.5549622484623948
宁夏,3d_balanced,Kmeans,5,2,0.717781381810272,0.7769505874768063
安徽,3d_balanced,Kmeans,5,4,0.6273387595704812,0.6617041219716174
山东,3d_balanced,Kmeans,5,4,0.7243397172837183,0.7350357080650923
山西,3d_balanced,Kmeans,5,2,0.8246501001164876,0.8486606302254287
广东,3d_balanced,Kmeans,5,4,0.5915752093211174,0.5967969083805128
广西,3d_balanced,Kmeans,5,1,0.5443470835415287,0.6063305628434909
新疆,3d_balanced,Kmeans,5,2,0.8166055647446883,0.8448097287218678
江苏,3d_balanced,Kmeans,5,4,0.7004256347980502,0.709005836963471
江西,3d_balanced,Kmeans,5,1,0.47504451120638175,0.5328676349424294
河北,3d_balanced,Kmeans,5,2,0.7835332721060869,0.8057415417129137
河南,3d_balanced,Kmeans,5,4,0.6041186485859018,0.6137209564225538
浙江,3d_balanced,Kmeans,5,4,0.6026087020082435,0.6232917985116859
海南,3d_balanced,Kmeans,5,5,0.23756267165242323,0.3360897420522263
湖北,3d_balanced,Kmeans,5,1,0.5585912096021018,0.5658666857588391
湖南,3d_balanced,Kmeans,5,1,0.48628564800245716,0.47849034721975736
甘肃,3d_balanced,Kmeans,5,1,0.5344443883288423,0.6089921026320284
福建,3d_balanced,Kmeans,5,1,0.5458693535486946,0.5928086094722795
贵州,3d_balanced,Kmeans,5,1,0.5139265440339448,0.5230549245479895
辽宁,3d_balanced,Kmeans,5,2,0.7353109592155852,0.756140498207689
重庆,3d_balanced,Kmeans,5,1,0.4055489616890713,0.46760564280760936
陕西,3d_balanced,Kmeans,5,4,0.635156717947642,0.6813551725160337
青海,3d_balanced,Kmeans,5,5,0.3481053106167525,0.43378551009740124
黑龙江,3d_balanced,Kmeans,5,1,0.5875517498367887,0.6277068060400297
上海,3d_balanced,Ward,5,1,0.399891695088258,0.400238959906644
云南,3d_balanced,Ward,5,1,0.4631168700730246,0.5090152838045352
内蒙古,3d_balanced,Ward,5,2,0.9653230321207742,0.9708832314416607
北京,3d_balanced,Ward,5,3,0.10833108298183813,0.08674044883094571
吉林,3d_balanced,Ward,5,1,0.5250659364323911,0.6068072883057705
四川,3d_balanced,Ward,5,1,0.47325913728461355,0.4811902350020097
天津,3d_balanced,Ward,5,1,0.486593397828583,0.5549622484623948
宁夏,3d_balanced,Ward,5,2,0.717781381810272,0.7769505874768063
安徽,3d_balanced,Ward,5,4,0.6273387595704812,0.6617041219716174
山东,3d_balanced,Ward,5,4,0.7243397172837183,0.7350357080650923
山西,3d_balanced,Ward,5,2,0.8246501001164876,0.8486606302254287
广东,3d_balanced,Ward,5,4,0.5915752093211174,0.5967969083805128
广西,3d_balanced,Ward,5,4,0.5443470835415287,0.6063305628434909
新疆,3d_balanced,Ward,5,2,0.8166055647446883,0.8448097287218678
江苏,3d_balanced,Ward,5,4,0.7004256347980502,0.709005836963471
江西,3d_balanced,Ward,5,1,0.47504451120638175,0.5328676349424294
河北,3d_balanced,Ward,5,2,0.7835332721060869,0.8057415417129137
河南,3d_balanced,Ward,5,4,0.6041186485859018,0.6137209564225538
浙江,3d_balanced,Ward,5,4,0.6026087020082435,0.6232917985116859
海南,3d_balanced,Ward,5,5,0.23756267165242323,0.3360897420522263
湖北,3d_balanced,Ward,5,1,0.5585912096021018,0.5658666857588391
湖南,3d_balanced,Ward,5,1,0.48628564800245716,0.47849034721975736
甘肃,3d_balanced,Ward,5,1,0.5344443883288423,0.6089921026320284
福建,3d_balanced,Ward,5,4,0.5458693535486946,0.5928086094722795
贵州,3d_balanced,Ward,5,1,0.5139265440339448,0.5230549245479895
辽宁,3d_balanced,Ward,5,2,0.7353109592155852,0.756140498207689
重庆,3d_balanced,Ward,5,1,0.4055489616890713,0.46760564280760936
陕西,3d_balanced,Ward,5,4,0.635156717947642,0.6813551725160337
青海,3d_balanced,Ward,5,5,0.3481053106167525,0.43378551009740124
黑龙江,3d_balanced,Ward,5,1,0.5875517498367887,0.6277068060400297
